x coord, y coord, z coord, T
0.000000, 0.000000, 0.000000, 0.000000 
0.025000, 0.000000, 0.000000, 250.000000 
0.050000, 0.000000, 0.000000, 250.000000 
0.075000, 0.000000, 0.000000, 250.000000 
0.100000, 0.000000, 0.000000, 250.000000 
0.125000, 0.000000, 0.000000, 250.000000 
0.150000, 0.000000, 0.000000, 250.000000 
0.175000, 0.000000, 0.000000, 250.000000 
0.200000, 0.000000, 0.000000, 250.000000 
0.225000, 0.000000, 0.000000, 250.000000 
0.250000, 0.000000, 0.000000, 250.000000 
0.275000, 0.000000, 0.000000, 250.000000 
0.300000, 0.000000, 0.000000, 250.000000 
0.325000, 0.000000, 0.000000, 250.000000 
0.350000, 0.000000, 0.000000, 250.000000 
0.375000, 0.000000, 0.000000, 250.000000 
0.400000, 0.000000, 0.000000, 250.000000 
0.425000, 0.000000, 0.000000, 250.000000 
0.450000, 0.000000, 0.000000, 250.000000 
0.475000, 0.000000, 0.000000, 250.000000 
0.500000, 0.000000, 0.000000, 250.000000 
0.525000, 0.000000, 0.000000, 250.000000 
0.550000, 0.000000, 0.000000, 250.000000 
0.575000, 0.000000, 0.000000, 250.000000 
0.600000, 0.000000, 0.000000, 250.000000 
0.625000, 0.000000, 0.000000, 250.000000 
0.650000, 0.000000, 0.000000, 250.000000 
0.675000, 0.000000, 0.000000, 250.000000 
0.700000, 0.000000, 0.000000, 250.000000 
0.725000, 0.000000, 0.000000, 250.000000 
0.750000, 0.000000, 0.000000, 250.000000 
0.775000, 0.000000, 0.000000, 250.000000 
0.800000, 0.000000, 0.000000, 250.000000 
0.825000, 0.000000, 0.000000, 250.000000 
0.850000, 0.000000, 0.000000, 250.000000 
0.875000, 0.000000, 0.000000, 250.000000 
0.900000, 0.000000, 0.000000, 250.000000 
0.925000, 0.000000, 0.000000, 250.000000 
0.950000, 0.000000, 0.000000, 250.000000 
0.975000, 0.000000, 0.000000, 250.000000 
1.000000, 0.000000, 0.000000, 0.000000 
0.000000, 0.025000, 0.000000, 0.000000 
0.025000, 0.025000, 0.000000, 124.836243 
0.050000, 0.025000, 0.000000, 174.084960 
0.075000, 0.025000, 0.000000, 197.158612 
0.100000, 0.025000, 0.000000, 209.714008 
0.125000, 0.025000, 0.000000, 217.385374 
0.150000, 0.025000, 0.000000, 222.484685 
0.175000, 0.025000, 0.000000, 226.084450 
0.200000, 0.025000, 0.000000, 228.737616 
0.225000, 0.025000, 0.000000, 230.754938 
0.250000, 0.025000, 0.000000, 232.323465 
0.275000, 0.025000, 0.000000, 233.562053 
0.300000, 0.025000, 0.000000, 234.549506 
0.325000, 0.025000, 0.000000, 235.339837 
0.350000, 0.025000, 0.000000, 235.970996 
0.375000, 0.025000, 0.000000, 236.470100 
0.400000, 0.025000, 0.000000, 236.856678 
0.425000, 0.025000, 0.000000, 237.144735 
0.450000, 0.025000, 0.000000, 237.344092 
0.475000, 0.025000, 0.000000, 237.461242 
0.500000, 0.025000, 0.000000, 237.499891 
0.525000, 0.025000, 0.000000, 237.461242 
0.550000, 0.025000, 0.000000, 237.344092 
0.575000, 0.025000, 0.000000, 237.144735 
0.600000, 0.025000, 0.000000, 236.856678 
0.625000, 0.025000, 0.000000, 236.470100 
0.650000, 0.025000, 0.000000, 235.970996 
0.675000, 0.025000, 0.000000, 235.339837 
0.700000, 0.025000, 0.000000, 234.549506 
0.725000, 0.025000, 0.000000, 233.562053 
0.750000, 0.025000, 0.000000, 232.323466 
0.775000, 0.025000, 0.000000, 230.754938 
0.800000, 0.025000, 0.000000, 228.737616 
0.825000, 0.025000, 0.000000, 226.084450 
0.850000, 0.025000, 0.000000, 222.484685 
0.875000, 0.025000, 0.000000, 217.385374 
0.900000, 0.025000, 0.000000, 209.714008 
0.925000, 0.025000, 0.000000, 197.158612 
0.950000, 0.025000, 0.000000, 174.084960 
0.975000, 0.025000, 0.000000, 124.836243 
1.000000, 0.025000, 0.000000, 0.000000 
0.000000, 0.050000, 0.000000, 0.000000 
0.025000, 0.050000, 0.000000, 75.260014 
0.050000, 0.050000, 0.000000, 124.344983 
0.075000, 0.050000, 0.000000, 154.835481 
0.100000, 0.050000, 0.000000, 174.312047 
0.125000, 0.050000, 0.000000, 187.342803 
0.150000, 0.050000, 0.000000, 196.468917 
0.175000, 0.050000, 0.000000, 203.115499 
0.200000, 0.050000, 0.000000, 208.111075 
0.225000, 0.050000, 0.000000, 211.958669 
0.250000, 0.050000, 0.000000, 214.976871 
0.275000, 0.050000, 0.000000, 217.375240 
0.300000, 0.050000, 0.000000, 219.296133 
0.325000, 0.050000, 0.000000, 220.838845 
0.350000, 0.050000, 0.000000, 222.074046 
0.375000, 0.050000, 0.000000, 223.052728 
0.400000, 0.050000, 0.000000, 223.811877 
0.425000, 0.050000, 0.000000, 224.378171 
0.450000, 0.050000, 0.000000, 224.770389 
0.475000, 0.050000, 0.000000, 225.000986 
0.500000, 0.050000, 0.000000, 225.077081 
0.525000, 0.050000, 0.000000, 225.000987 
0.550000, 0.050000, 0.000000, 224.770389 
0.575000, 0.050000, 0.000000, 224.378171 
0.600000, 0.050000, 0.000000, 223.811878 
0.625000, 0.050000, 0.000000, 223.052728 
0.650000, 0.050000, 0.000000, 222.074047 
0.675000, 0.050000, 0.000000, 220.838845 
0.700000, 0.050000, 0.000000, 219.296134 
0.725000, 0.050000, 0.000000, 217.375240 
0.750000, 0.050000, 0.000000, 214.976872 
0.775000, 0.050000, 0.000000, 211.958670 
0.800000, 0.050000, 0.000000, 208.111076 
